OBJECTID,TRAFFICCLOSURESID,CLOSURE_TYPE,STREET_NAME,STREET_FROM,STREET_TO,DATE_FROM,DATE_TO,REASON,STATUS,CLOSURE_SCHEDULED,DETAILS,DETOUR,ORGANIZATION,CONTACT,WATER,TIME,INSTRUCTIONS,INSTRUCTION_TEXT,UPDATES,CREATE_DATE,CREATE_BY,UPDATE_DATE,UPDATE_BY,STATUS_DATE,ALTERNATE_CONTACT,DOWNTOWN,MAP_CLASS,Shape__Length
35440,3688,Road,EBY ST N,DUKE ST E,KING ST E,9/7/2004 12:00:01 AM,9/7/2004 11:59:59 PM,Site Servicing,Closed,Completed,CRANE OPERATION (7:00 AM TO 3:00 PM),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,EBY ST N (DUKE ST TO KING ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,70.0710761296368
35441,3695,Road,FIFTH AVE,KINGSWAY DR,CONNAUGHT ST,9/7/2004 12:00:01 AM,9/7/2004 11:59:59 PM,Sewer Work,Closed,Completed,SEWER REPAIR (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,FIFTH  AVE (KINGSWAY  AVE TO CONNAUGHT ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,414.924066653358
35442,3696,Road,WASHBURN DR,TRILLIUM DR,BLEAMS RD,9/8/2004 12:00:01 AM,9/8/2004 11:59:59 PM,Sewer Work,Closed,Completed,SANITARY AND WATER CONNECTION (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,WASHBURN RD (TRILLIUM DR TO BLEAMS RD),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,729.245332267627
35443,3697,Road,GUELPH ST,MAPLE AVE,BIRCH AVE,9/10/2004 12:00:01 AM,9/10/2004 11:59:59 PM,Sewer Work,Closed,Completed,SANITARY/STORM/WATER CONNECTIONS (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,866 GUELPH ST (MAPLE  AVE TO BIRCH  AVE),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,564.740793746746
35444,3699,Road,QUEEN ST N,DUKE ST W,,9/8/2004 12:00:01 AM,9/8/2004 11:59:59 PM,Road Resurfacing,Closed,Completed,RD IMPROVEMENTS (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,QUEEN ST N (AT DUKE ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,199.814269506896
35445,3701,Road,JOSEPH ST,VICTORIA ST S,END,9/10/2004 12:00:01 AM,9/10/2004 11:59:59 PM,Utility Work,Closed,Completed,UTILITY CUT WORK (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,JOSEPH ST (VICTORIA ST S TO THE END),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,396.808332408886
35446,3702,Road,PARK ST,VICTORIA ST S,DEVON ST,9/9/2004 12:00:01 AM,9/10/2004 11:59:59 PM,Utility Work,Closed,Completed,GAS SERVICE INSTALLATION (SEPT 9 (9 AM- 4 PM)  SEPT 10 (9 AM- 1 PM)),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,PARK ST (EB ONLY) (VICTORIA ST TO DEVON ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,452.301425447398
35447,3711,Road,FORESTWOOD DR,GLEN AVON CRES,GLEN LAKE CRES,9/10/2004 12:00:01 AM,9/10/2004 11:59:59 PM,Watermain Break,Closed,Completed,WATERMAIN BREAK REPAIR (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,FORESTWOOD DR (GLEN AVON CRES TO GLEN LAKE CRES),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,499.980092566945
35448,3712,Road,WATERLOO ST,BREITHAUPT ST,GUELPH ST,5/26/2004 12:00:01 AM,9/9/2004 11:59:59 PM,Road Reconstruction,Closed,Completed,RD RECONSTRUCTION (NULL),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,WATERLOO ST (BREITHAUPT ST TO GUELPH ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,818.13807600666
35449,3713,Road,FRANCIS ST S,CHARLES ST W,DUKE ST W,9/14/2004 12:00:01 AM,9/16/2004 11:59:59 PM,Road Resurfacing,Closed,Completed,"PAVING OPERATIONS (SEPT 14 -16, 2004)",,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,FRANCIS ST (CHARLES ST TO DUKE ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,179.853136897118
35450,3714,Road,BREITHAUPT ST,ST LEGER ST,AHRENS ST W,9/27/2004 12:00:01 AM,10/4/2004 11:59:59 PM,Road Resurfacing,Closed,Completed,"RD IMPROVEMENTS (SEPT 27 - OCT 4 , 2004)",,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,BREITHAUPT ST (ST LEGER ST TO AHRENS ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,934.883113377374
35451,3715,Road,KING ST W,VICTORIA ST N,FRANCIS ST N,6/21/2004 12:00:01 AM,9/30/2004 11:59:59 PM,Road Reconstruction,Closed,Completed,"RD RECONSTRUCTION (JUNE 21 - SEPT 30, 2004)",,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,KING ST W (VICTORIA ST TO FRANCIS ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,574.075469857289
35452,3718,Road,BELMONT AVE E,QUEENS BLVD,HIGHLAND RD W,9/14/2004 12:00:01 AM,9/14/2004 11:59:59 PM,Water Repair,Closed,Completed,WATER SERVICE REPAIR (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,BELMONT  AVE EAST (AT QUEEN ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,341.295619482159
35453,3719,Road,SOUTH DR,PERTH RD,,9/14/2004 12:00:01 AM,9/14/2004 11:59:59 PM,Water Repair,Closed,Completed,WATER SERVICE REPAIR (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,SOUTH DR (PERTH RD),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,152.079070628342
35454,3720,Road,GUELPH ST,MAPLE AVE,BIRCH AVE,9/14/2004 12:00:01 AM,9/14/2004 11:59:59 PM,Water Repair,Closed,Completed,BROKEN WATER VALVE REPLMENT (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,GUELPH ST (MAPLE  AVE TO BIRCH  AVE   OPEN TO LOCAL TRAFFIC ONLY),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,564.740793746746
35455,3722,Road,STRASBURG RD,TRILLIUM DR,BLEAMS RD,9/14/2004 12:00:01 AM,9/14/2004 11:59:59 PM,Utility Work,Closed,Completed,UTILITY CUT REPAIRS (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,STRASBURG RD (WB LN ONLY) (TRILLIUM DR TO BLEAMS RD),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,1645.10995237585
35456,3723,Road,DAVID ST,SCHNEIDER AVE,DILL ST,9/14/2004 12:00:01 AM,9/14/2004 11:59:59 PM,Utility Work,Closed,Completed,UTILITY CUT REPAIR (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,DAVID ST (SCHNEIDER  AVE TO DILL ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,215.068200201611
35457,3730,Road,MANCHESTER RD,WEDGEWOOD DR,RIVER RD E,9/14/2004 12:00:01 AM,9/28/2004 11:59:59 PM,Manhole Work,Closed,Completed,"MANHOLE CONNECTIONS (SEPT 14 - 24, 2004)",,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,MANCHESTER RD (WEDGEWOOD DR TO RIVER RD),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,1259.32412239677
35458,3731,Road,LAWRENCE AVE,VICTORIA ST S,PAULANDER DR,9/15/2004 12:00:01 AM,9/15/2004 11:59:59 PM,Sewer Work,Closed,Completed,SANITARY/STORM/WATER CONNECTION (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,LAWRENCE  AVE (VICTORIA ST TO PAULANDER DR),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,666.158328305102
35459,3733,Road,ROTHSAY AVE,FORFAR AVE,NATCHEZ RD,11/19/2004 12:00:01 AM,11/22/2004 11:59:59 PM,Road Reconstruction,Closed,Completed,RD RECONSTRUCTION (38313),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,ROTHSAY  AVE (FORFAR  AVE TO NATCHEZ RD),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,366.97459893336
35460,3734,Road,WELLINGTON ST N,MARGARET AVE,,9/18/2004 12:00:01 AM,9/18/2004 11:59:59 PM,Watermain Break,Closed,Completed,NEW WATERMAIN SERVICE CONNECTION (7: 00 AM TO 10:00 AM),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,WELLINGTON ST (SB ONLY) (AT MARGARET),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,546.173442640808
35461,3735,Road,FRANCIS ST N,JOSEPH ST,CHARLES ST W,9/15/2004 12:00:01 AM,9/20/2004 11:59:59 PM,Water Repair,Closed,Completed,"WATERMAIN CONNECTION (SEPT 15 -20, 2004)",,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,FRANCIS ST (NORTHBOUND ONLY) (JOSEPH ST TO CHARLES ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,272.596948102797
35462,3739,Road,BREITHAUPT ST,ST LEGER ST,WEBER ST W,9/16/2004 12:00:01 AM,9/16/2004 11:59:59 PM,Utility Work,Closed,Completed,UTILITY CUT REPAIR (7:00 AM TO 9:00 AM),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,BREITHAUPT ST (ST LEGER ST TO WEBER ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,1061.62854631809
35463,3740,Road,GUELPH ST,BIRCH AVE,MAPLE AVE,9/16/2004 12:00:01 AM,9/16/2004 11:59:59 PM,Utility Work,Closed,Completed,UTILITY CUT REPAIRS (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,GUELPH ST (BIRCH  AVE TO MAPLE  AVE),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,182.961810623904
35464,3750,Intersection,DAYMAN CRT,WESTWOOD DR,,9/20/2004 12:00:01 AM,9/20/2004 11:59:59 PM,Sewer Work,Closed,Completed,SEWER REPAIR (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,DAYMAN COURT (AT WESTWOOD DR),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Intersection - Closed,124.003450600993
35465,3751,Road,PEPPERWOOD CRES,MORGAN AVE,MORGAN AVE,9/21/2004 12:00:01 AM,9/21/2004 11:59:59 PM,Sewer Work,Closed,Completed,SEWER REPAIR (ONE DAY CLOSUR),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,PEPPERWOOD CRES (MORGAN  AVE TO MORGRAN  AVE),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,551.520884475117
35466,3752,Road,KINZIE AVE,RIVER RD E,GRULKE ST,9/22/2004 12:00:01 AM,9/22/2004 11:59:59 PM,Sewer Work,Closed,Completed,SEWER REPAIR (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,KINZIE  AVE (RIVER RD TO GRULKE ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,282.57827522077
35467,3753,Road,GATEWOOD RD,WESTMOUNT RD E,LAKESIDE DR,9/17/2004 12:00:01 AM,9/17/2004 11:59:59 PM,Water Repair,Closed,Completed,WATER LEAK REPAIR (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,GATEWOOD RD (WESTMOUNT RD TO LAKESIDE DR),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,652.229542166237
35468,3754,Road,CHESTNUT ST,MANSION ST,FREDERICK ST,9/25/2004 12:00:01 AM,9/25/2004 11:59:59 PM,Special Event,Closed,Completed,"ST PARTY (SEPTEMBER 25, 2004)",,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,CHESTNUT ST (MANSION ST TO FREDERICK ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,293.435640653728
35469,3759,Road,LAWRENCE AVE,PAULANDER DR,VICTORIA ST S,9/21/2004 12:00:01 AM,9/21/2004 11:59:59 PM,Utility Work,Closed,Completed,UTILITY CUT REPAIR (1 DAY),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,LAWRENCE  AVE (PAULANDER DR TO VICTORIA ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,565.166722837041
35470,3767,Road,FORESTWOOD DR,GLEN AVON CRES,,9/22/2004 12:00:01 AM,9/22/2004 11:59:59 PM,Utility Work,Closed,Completed,UTILITY CUT REPAIR (AMCLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,FORESTWOOD DR (AT GLEN AVON  CRES),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,257.289537367668
35471,3783,Road,CEDAR ST N,DUKE ST E,KING ST E,9/23/2004 12:00:01 AM,9/23/2004 11:59:59 PM,Site Servicing,Closed,Completed,CRANE OPERATION (9:00 AM - 10:00 AM),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,CEDAR ST (DUKE ST TO KING ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,209.58367017265
35472,3784,Road,UNION ST,LANCASTER ST W,MAPLE AVE,9/23/2004 12:00:01 AM,9/23/2004 11:59:59 PM,Water Repair,Closed,Completed,BROKEN WATER VALVE REPLMENT WORK (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,UNION ST (LANCASTER ST TO MAPLE  AVE),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,275.235881577917
35473,3787,Road,LANCASTER ST E,MANSION ST,FREDERICK ST,9/22/2004 12:00:01 AM,9/22/2004 11:59:59 PM,Water Repair,Closed,Completed,WATER VALVE REPAIR (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,LANCASTER ST E (MANSION ST TO FREDERICK ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,386.353520752323
35474,3788,Road,EBY ST N,DUKE ST E,KING ST E,9/23/2004 12:00:01 AM,9/23/2004 11:59:59 PM,Site Servicing,Closed,Completed,CRANE OPERATION (12:00 NOON - 5:00 PM),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,EBY ST (DUKE ST TO KING ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,70.0710761296368
35475,3789,Road,CLIFTON RD,GUELPH ST,ARNOLD ST,9/23/2004 12:00:01 AM,9/23/2004 11:59:59 PM,Sewer Work,Closed,Completed,SEWER REPAIR (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,CLIFTON RD (GUELPH ST TO ARNOLD ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,272.218918277685
35476,3792,Road,KING ST W,GAUKEL ST,WATER ST S,10/8/2004 12:00:01 AM,10/8/2004 11:59:59 PM,Special Event,Closed,Completed,OKTOBERFEST OPENING CEREMONIES/GRILLFEST (9:00 AM TO 4:00 PM),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,KING ST (GAUKEL ST TO WATER ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,209.417436676769
35477,3793,Road,COLLEGE ST,KING ST W,DUKE ST W,10/8/2004 12:00:01 AM,10/8/2004 11:59:59 PM,Special Event,Closed,Completed,OKTOBERFEST OPENING CEREMONIES/GRILLFEST (9:00 AM TO 4:00 PM),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,COLLEGE ST (KING ST TO DUKE ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,125.401771901421
35478,3794,Road,KING ST W,QUEEN ST N,SCOTT ST,10/16/2004 12:00:01 AM,10/16/2004 11:59:59 PM,Special Event,Closed,Completed,OKTOBERFEST CAR SHOW (8:00 AM TO 6:00 PM),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,KING ST (QUEEN ST TO SCOTT ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,2281.14483382583
35479,3795,Road,KING ST W,STIRLING AVE S,END,10/11/2004 12:00:01 AM,10/11/2004 11:59:59 PM,Special Event,Closed,Completed,OKTOBERFEST PARADE (8:00 AM TO 1:00 PM),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,KING ST (CITY OF WATERLOO LIMIT TO STIRLING  AVE   WRP TO CONTROL TRAFFIC FOR THE EVENT),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,2281.14483382583
35480,3796,Road,FREDERICK ST,KING ST E,DUKE ST E,10/5/2004 12:00:01 AM,10/18/2004 11:59:59 PM,Special Event,Closed,Completed,"OKTOBERFEST (OCTOBER 5 (10:00 AM) - OCTOBER 18, 2004 (12:00 NOON))",,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,FREDERICK ST (KING ST TO DUKE ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,139.552045965984
35481,3797,Road,BENTON ST,KING ST E,CHARLES ST E,10/5/2004 12:00:01 AM,10/18/2004 11:59:59 PM,Special Event,Closed,Completed,"OKTOBERFEST (OCTOBER 5 (10:00 AM) - OCTOBER 18, 2004 (12:00 NOON))",,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,BENTON ST (WB LN) (KING ST TO CHARLES ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,107.708526895268
35482,3798,Road,GOUDIES LANE,FREDERICK ST,FREDERICK ST,10/5/2004 12:00:01 AM,10/18/2004 11:59:59 PM,Special Event,Closed,Completed,"OKTOBERFEST (OCTOBER 5 (10:00 AM) - OCTOBER 18, 2004 (12:00 NOON))",,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,GOUDIES LN (PARKING LOT ENTRANCE TO FREDERICK ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,132.536704248163
35483,3802,Road,TRAYNOR AVE,BALFOUR CRES,BELWOOD CRES,9/24/2004 12:00:01 AM,9/24/2004 11:59:59 PM,Watermain Break,Closed,Completed,WATERMAIN BREAK (AFTERNOON CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,TRAYNOR  AVE (BALFOUR CRES TO BELWOOD CRES),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,482.07895111101
35484,3803,Road,MICHAEL ST,VICTORIA ST S,LINDEN AVE,9/27/2004 12:00:01 AM,9/27/2004 11:59:59 PM,Sewer Work,Closed,Completed,STORM REPAIR WORK (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,MICHAEL ST (VICTORIA ST S TO LINDEN  AVE),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,205.023401356708
35485,3804,Road,SILVER ASPEN CRES,ELM RIDGE DR,ELM RIDGE DR,9/28/2004 12:00:01 AM,9/28/2004 11:59:59 PM,Catchbasin Work,Closed,Completed,CATCH BASIN REPLMENT (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,SILVER ASPEN CRES (ELM RIDGE DR TO ELM RIDGE DR),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,608.087135546423
35486,3805,Road,HIGHLAND CRES,WYCLIFFE PL,CAMERON ST S,9/27/2004 12:00:01 AM,9/27/2004 11:59:59 PM,Manhole Work,Closed,Completed,MANHOLE REPAIR (MORNING CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,HIGHLAND CRES (WYCLIFFE PL TO CAMROSE COURT),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,422.498323315404
35487,3808,Road,STRASBURG RD,TRILLIUM DR,BLEAMS RD,9/27/2004 12:00:01 AM,9/27/2004 11:59:59 PM,Utility Work,Closed,Completed,UTILITY CUT REPAIR (8:00 AM - 12:00 NOON),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,STRASBURG RD NORTH (TRILLIUM  DR TO BLEAMS RD),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,1645.10995237585
35488,3817,Road,HURON RD,STRASBURG RD,PLAINS RD,10/4/2004 12:00:01 AM,10/4/2004 11:59:59 PM,Utility Work,Closed,Completed,PIPE INSTALLATIONS (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,HURON RD (STRASBURG RD TO PLAINS RD/FISCHER HALLMAN RD),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,2651.04335328888
35489,3841,Road,PARK ST,DEVON ST,,10/1/2004 12:00:01 AM,10/1/2004 11:59:59 PM,Emergency,Closed,Completed,EMERGENCY HYDRO POLE REPAIR (EVENING CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,PARK ST (AT DEVON ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,213.024865858096
35490,3842,Road,CLIFTON RD,GUELPH ST,ARNOLD ST,10/4/2004 12:00:01 AM,10/4/2004 11:59:59 PM,Utility Work,Closed,Completed,UTILITY CUT WORK (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,CLIFTON RD (GUELPH ST TO ARNOLD ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,272.218918277685
35491,3850,Road,RUSSEL ST,WOODLAND AVE,SPADINA RD E,10/6/2004 12:00:01 AM,10/6/2004 11:59:59 PM,Sewer Work,Closed,Completed,STORM REPAIR (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,RUSSELL ST (WOODLAND  AVE TO SPADINA RD),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,287.683168103515
35492,3859,Road,KING ST E,EBY ST N,SCOTT ST,10/16/2004 12:00:01 AM,10/16/2004 11:59:59 PM,Special Event,Closed,Completed,FARM MOTION IN CONJUNCTION WITH OKTOBERFEST CAR SHOW (8:00 AM TO 6:00 PM),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,KING ST (EBY ST TO SCOTT ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,146.702128184975
35493,3861,Road,QUEEN ST S,COURTLAND AVE E,JOSEPH ST,10/26/2004 12:00:01 AM,10/26/2004 11:59:59 PM,Site Servicing,Closed,Completed,CRANE OPERATION (7:30 AM TO 3:00 PM),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,QUEEN ST (COURTLAND AVE TO JOSEPH ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,496.675373399898
35494,3864,Road,GLEN PARK CRES,FORESTWOOD DR,FORESTWOOD DR,10/12/2004 12:00:01 AM,10/12/2004 11:59:59 PM,Sewer Work,Closed,Completed,SANITARY REPAIRS (ONE DAY CLOSURE),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,GLEN PARK CRES (FORESTWOOD DR TO FORESTWOOD DR),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,575.432691078652
35495,3551,Road,GUELPH ST,ST LEGER ST,EDWIN ST,8/3/2004 12:00:01 AM,8/3/2004 11:59:59 PM,Sewer Work,Closed,Completed,SEWER REPAIR (ONE HOUR),,KITCHENER,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,GUELPH ST (ST LEGAR ST TO EDWIN ST),9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,239.366517331454
